year,make,vehicle_count
2023,Porsche,84
2023,BMW,82
2022,BMW,80
2024,BMW,77
2022,Porsche,75
2023,Mercedes-Benz,64
2024,Porsche,61
2022,Mercedes-Benz,59
2024,Toyota,53
2022,Chevrolet,53
2022,Ford,52
2022,Toyota,51
2023,Ford,51
2024,Mercedes-Benz,50
2022,Audi,48
2023,Audi,48
2024,Ford,45
2023,Toyota,45
2024,Chevrolet,44
2023,Chevrolet,43
2024,Lexus,36
2022,Lexus,35
2023,Lexus,33
2022,Jeep,32
2023,Nissan,31
2022,GMC,31
2024,Nissan,30
2024,Cadillac,29
2023,Cadillac,29
2022,Nissan,29
2023,GMC,29
2022,Cadillac,28
2023,Jeep,28
2024,GMC,27
2022,Kia,23
2022,Volkswagen,23
2023,Volkswagen,23
2023,Dodge,23
2022,Land Rover,23
2023,Kia,22
2022,Hyundai,22
2022,Dodge,22
2023,Land Rover,22
2022,Subaru,20
2023,Subaru,20
2024,Maserati,20
2024,Volkswagen,19
2022,Honda,19
2024,MINI,19
2022,MINI,19
2023,MINI,19
2024,Jeep,19
2024,Kia,18
2024,Honda,18
2023,Honda,17
2024,Hyundai,17
2023,Maserati,17
2022,Genesis,16
2023,Hyundai,16
2024,Audi,15
2023,Acura,15
2022,Infiniti,15
2024,Land Rover,15
2024,Subaru,14
2022,Acura,13
2022,Volvo,13
2022,Ram,13
2022,Maserati,13
2022,Jaguar,12
2023,Jaguar,12
2023,Genesis,12
2023,Volvo,12
2023,Mitsubishi,12
2022,Mitsubishi,12
2024,Jaguar,11
2024,Infiniti,11
2023,Infiniti,11
2023,Ram,11
2024,Ram,10
2023,Ferrari,10
2024,Genesis,9
2024,Volvo,9
2024,Mitsubishi,9
2022,Lincoln,9
2023,Lincoln,9
2023,Bentley,9
2022,Lamborghini,8
2022,Buick,8
2022,Bentley,8
2024,Bentley,8
2023,Chrysler,7
2023,Aston Martin,7
2024,Mazda,7
2022,Rolls-Royce,7
2023,Rolls-Royce,7
2024,Rolls-Royce,7
2022,Chrysler,6
2023,Mazda,6
2022,Ferrari,6
2023,Lamborghini,6
2023,Buick,6
2022,Alfa Romeo,6
2023,Alfa Romeo,6
2024,Dodge,6
2024,Lincoln,6
2022,Aston Martin,5
2022,Mazda,5
2024,Ferrari,5
2024,Lamborghini,5
2024,Buick,5
2022,McLaren Automotive,4
2022,Bugatti,3
2023,Bugatti,3
2024,Chrysler,3
2024,Acura,2
2024,INEOS Automotive,2
2023,INEOS Automotive,2
2022,Fiat,1
2023,Fiat,1
2024,Lotus,1
2024,Bugatti,1
2023,Pagani,1
2024,Aston Martin,1
2023,RUF Automobile,1